"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/1995","1.750","1.745","1.789","1.571","258.07K","0.11%"
"08/01/1995","1.748","1.615","1.755","1.390","363.02K","8.30%"
"07/01/1995","1.614","1.512","1.615","1.335","307.74K","5.49%"
"06/01/1995","1.530","1.718","1.744","1.481","250.05K","-10.94%"
"05/01/1995","1.718","1.670","1.824","1.635","256.06K","3.37%"
"04/01/1995","1.662","1.700","1.745","1.585","224.41K","-1.36%"
"03/01/1995","1.685","1.485","1.725","1.417","273.23K","13.62%"
"02/01/1995","1.483","1.345","1.555","1.341","270.04K","9.53%"
"01/01/1995","1.354","1.760","1.795","1.250","332.65K","-21.51%"
"12/01/1994","1.725","1.690","1.940","1.535","315.11K","1.77%"
"11/01/1994","1.695","1.941","1.966","1.585","317.81K","-13.08%"
"10/01/1994","1.950","1.650","2.040","1.550","260.14K","17.68%"
"09/01/1994","1.657","1.580","1.770","1.395","234.63K","4.48%"
"08/01/1994","1.586","1.910","1.920","1.450","267.17K","-16.22%"
"07/01/1994","1.893","2.210","2.220","1.765","185.96K","-13.32%"
"06/01/1994","2.184","1.915","2.240","1.870","222.41K","13.93%"
"05/01/1994","1.917","2.065","2.084","1.800","183.28K","-7.26%"
"04/01/1994","2.067","2.080","2.205","2.030","208.35K","-0.39%"
"03/01/1994","2.075","2.185","2.220","1.940","158.35K","-6.02%"
"02/01/1994","2.208","2.570","2.690","2.185","220.88K","-13.55%"
"01/01/1994","2.554","1.955","2.599","1.910","266.09K","27.89%"
"12/01/1993","1.997","2.240","2.285","1.880","257.89K","-10.97%"
"11/01/1993","2.243","2.380","2.468","2.210","188.71K","-5.28%"
"10/01/1993","2.368","2.275","2.424","2.105","160.31K","3.36%"
"09/01/1993","2.291","2.360","2.420","1.960","176.46K","-3.54%"
"08/01/1993","2.375","2.225","2.490","2.170","144.55K","6.98%"
"07/01/1993","2.220","2.160","2.225","1.960","119.18K","1.79%"
"06/01/1993","2.181","2.140","2.280","1.840","134.56K","1.87%"
"05/01/1993","2.141","2.335","2.365","1.950","162.18K","-9.47%"
"04/01/1993","2.365","2.070","2.800","1.990","141.26K","14.31%"
"03/01/1993","2.069","1.860","2.270","1.750","104.74K","11.48%"
"02/01/1993","1.856","1.607","1.950","1.565","95.35K","16.22%"
"01/01/1993","1.597","1.645","1.700","1.521","88.00K","-5.33%"
"12/01/1992","1.687","2.100","2.155","1.650","112.57K","-19.17%"
"11/01/1992","2.087","2.305","2.480","2.015","82.17K","-9.06%"
"10/01/1992","2.295","2.495","2.630","2.145","110.80K","-8.75%"
"09/01/1992","2.515","2.070","2.790","2.005","79.11K","19.08%"
"08/01/1992","2.112","1.887","2.180","1.745","70.77K","11.63%"
"07/01/1992","1.892","1.530","1.940","1.525","49.13K","24.64%"
